      Lon     Lat Rayleigh Uncert m/s
                     8.00    8.00   10.00   10.00   12.00   12.00   14.00   14.00   16.00   16.00   18.00   18.00   20.00   20.00   22.00   22.00   24.00   24.00   28.00   28.00   32.00   32.00   36.00   36.00   40.00   40.00   50.00   50.00   60.00   60.00   70.00   70.00   80.00   80.00  100.00  100.00  125.00  125.00  150.00  150.00
    -1.00   -9.00 2989.20   11.80 3065.40   10.00 3144.60   10.00 3187.30   10.00 3243.30   10.00 3303.80   10.00 3365.60   10.00 3431.30   10.00 3499.80   10.00 3617.60   17.40 3708.90   12.10 3781.80   11.90 3847.90   14.40 3940.20   13.20 3976.20   15.80 4000.50   19.70 4032.00   23.20 4049.50   32.40 4136.00   44.80 4274.80   60.30
     0.00   -9.00 3018.30   10.00 3105.90   10.00 3174.70   10.00 3237.80   10.00 3305.30   10.00 3366.80   10.00 3429.90   10.00 3484.90   10.00 3541.30   10.00 3662.50   15.80 3760.50   15.20 3833.30   13.40 3882.60   16.60 3971.80   16.00 4002.60   16.80 4007.80   22.50 4030.90   27.80 4085.90   32.60 4168.80   45.50 4279.10   60.70
     1.00   -9.00 3113.70   10.00 3193.50   10.00 3258.60   10.00 3308.90   10.00 3368.70   10.00 3428.00   10.00 3488.60   10.00 3550.70   10.00 3613.00   10.00 3739.70   24.80 3824.30   15.50 3887.40   13.70 3947.70   12.80 4007.20   16.60 4047.60   17.00 4040.60   23.40 4053.00   25.50 4101.80   34.20 4187.50   46.00 4261.00   61.00
     2.00   -9.00 3144.10   10.00 3230.50   10.00 3285.30   10.00 3337.50   10.00 3384.90   10.00 3434.30   10.00 3493.20   10.00 3549.00   10.00 3606.70   10.00 3723.90   27.60 3816.10   15.80 3885.30   16.50 3952.30   16.40 4019.60   18.80 4060.20   22.80 4056.70   24.20 4089.60   29.30 4088.80   35.30 4183.10   47.40 4260.10   62.20
     3.00   -9.00 3211.80   10.00 3278.60   10.00 3329.90   10.00 3380.90   10.00 3422.10   10.00 3473.60   10.00 3525.60   10.00 3579.00   10.00 3631.60   10.00 3730.90   16.90 3818.70   15.00 3895.30   14.20 3942.50   12.80 4032.90   15.80 4089.40   19.40 4084.90   26.80 4117.80   28.30 4105.00   39.00 4184.10   49.60 4304.20   64.30
   -10.00   -8.00 3093.10   10.00 3180.00   10.00 3252.70   10.00 3339.90   10.00 3416.90   10.00 3481.50   10.00 3538.00   10.00 3583.10   10.00 3614.00   10.00 3647.60   14.50 3685.20   10.80 3705.30   10.00 3715.80   10.00 3773.80   11.00 3785.10   12.20 3810.10   19.80 3849.70   21.20 3932.90   39.10 4068.50   50.60 4230.20   65.70
    -9.00   -8.00 3031.20   10.00 3101.80   10.00 3160.20   10.00 3225.10   10.00 3307.70   10.00 3391.10   10.00 3464.70   10.00 3529.70   10.00 3582.60   10.00 3642.30   21.60 3681.30   14.00 3726.60   14.00 3732.60   14.80 3779.40   14.20 3800.50   22.20 3854.10   20.30 3884.30   21.60 3972.40   35.90 4085.70   48.70 4248.80   64.10
    -8.00   -8.00 2927.80   10.00 3013.70   10.00 3080.70   10.00 3148.80   10.00 3217.60   10.00 3281.10   10.00 3354.30   10.00 3418.00   10.00 3477.90   10.00 3569.30   18.90 3640.20   12.40 3684.10   11.70 3726.00   13.60 3796.40   11.60 3838.90   16.60 3886.40   20.00 3934.60   21.10 4031.30   33.30 4106.10   47.10 4255.40   62.50
    -7.00   -8.00 2849.90   12.40 2977.30   10.00 3076.10   10.00 3145.20   10.00 3203.30   10.00 3251.00   10.00 3297.90   10.00 3347.40   10.00 3401.10   10.00 3522.10   15.40 3608.60   10.60 3690.70   11.20 3742.90   10.80 3840.80   13.80 3906.70   15.40 3949.90   19.20 3989.10   20.40 4044.40   32.60 4150.70   46.00 4266.40   61.10
    -6.00   -8.00 2945.00   16.20 3077.10   10.80 3148.70   10.00 3210.30   10.00 3261.70   10.00 3312.50   10.00 3359.30   10.00 3411.30   10.00 3463.80   10.00 3561.90   11.80 3660.20   10.80 3735.30   11.00 3796.70   10.00 3893.50   14.60 3937.70   18.60 3984.00   20.10 4015.00   21.90 4069.60   31.80 4140.70   45.40 4276.70   61.50
    -5.00   -8.00 2915.50   17.00 3069.10   10.00 3160.00   10.00 3214.70   10.00 3267.90   10.00 3310.30   10.00 3347.40   10.00 3389.60   10.00 3434.10   10.00 3531.80   10.70 3633.40   10.00 3715.10   10.20 3790.00   10.00 3914.60   12.20 3979.30   17.60 3990.70   19.90 4026.30   21.20 4052.00   32.10 4118.20   45.40 4256.80   61.30
    -4.00   -8.00 2980.70   17.40 3092.10   10.00 3154.20   10.00 3195.40   10.00 3223.60   10.00 3266.50   10.00 3308.60   10.00 3354.70   10.00 3401.50   10.00 3486.70   14.50 3585.20   11.20 3655.60   11.60 3730.00   13.00 3833.90   15.80 3880.60   15.80 3920.10   20.20 3976.00   21.70 4046.30   31.80 4141.50   45.20 4251.90   61.20
