Lon Lat Tbuf Tinterm Tbottom 1 Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 1 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
-1.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.964 300.00 4.400 9.200 55.000 5.500 94.964
0.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.702 300.00 4.400 9.200 55.000 5.500 94.702
1.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 92.968 300.00 4.400 9.200 55.000 5.500 92.968
2.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.411 300.00 4.400 9.200 55.000 5.500 93.411
3.00 -5.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.840 300.00 4.400 9.200 55.000 5.500 93.840
-10.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.388 300.00 4.400 9.200 55.000 5.500 93.388
-9.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.792 300.00 4.400 9.200 55.000 5.500 93.792
-8.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.889 300.00 4.400 9.200 55.000 5.500 94.889
-7.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.618 300.00 4.400 9.200 55.000 5.500 93.618
-6.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.560 300.00 4.400 9.200 55.000 5.500 93.560
-5.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.168 300.00 4.400 9.200 55.000 5.500 94.168
-4.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.782 300.00 4.400 9.200 55.000 5.500 93.782
-3.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.482 300.00 4.400 9.200 55.000 5.500 93.482
-2.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.610 300.00 4.400 9.200 55.000 5.500 93.610
-1.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.695 300.00 4.400 9.200 55.000 5.500 93.695
0.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.275 300.00 4.400 9.200 55.000 5.500 94.275
1.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.782 300.00 4.400 9.200 55.000 5.500 93.782
2.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.098 300.00 4.400 9.200 55.000 5.500 93.098
3.00 -4.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.312 300.00 4.400 9.200 55.000 5.500 94.312
-10.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.299 300.00 4.400 9.200 55.000 5.500 93.299
-9.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.046 300.00 4.400 9.200 55.000 5.500 93.046
-8.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.763 300.00 4.400 9.200 55.000 5.500 93.763
-7.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.529 300.00 4.400 9.200 55.000 5.500 94.529
-6.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.953 300.00 4.400 9.200 55.000 5.500 93.953
-5.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.615 300.00 4.400 9.200 55.000 5.500 94.615
-4.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.424 300.00 4.400 9.200 55.000 5.500 94.424
-3.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.072 300.00 4.400 9.200 55.000 5.500 94.072
-2.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.427 300.00 4.400 9.200 55.000 5.500 93.427
-1.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.598 300.00 4.400 9.200 55.000 5.500 94.598
0.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.633 300.00 4.400 9.200 55.000 5.500 94.633
1.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.835 300.00 4.400 9.200 55.000 5.500 93.835
2.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.473 300.00 4.400 9.200 55.000 5.500 93.473
3.00 -3.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 92.842 300.00 4.400 9.200 55.000 5.500 92.842
-10.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.587 300.00 4.400 9.200 55.000 5.500 93.587
-9.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.168 300.00 4.400 9.200 55.000 5.500 94.168
-8.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.528 300.00 4.400 9.200 55.000 5.500 93.528
-7.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.302 300.00 4.400 9.200 55.000 5.500 94.302
-6.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.912 300.00 4.400 9.200 55.000 5.500 93.912
-5.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.426 300.00 4.400 9.200 55.000 5.500 93.426
-4.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.877 300.00 4.400 9.200 55.000 5.500 93.877
-3.00 -2.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.124 300.00 4.400 9.200 55.000 5.500 94.124
