      Lon      Lat     thick1        Vs1        Vp1      Dens1       RHP1     thick2        Vs2        Vp2      Dens2       RHP2     thick3        Vs3        Vp3      Dens3       RHP3
      deg      deg          m        m/s        m/s      kg/m3      uW/m3          m        m/s        m/s      kg/m3      uW/m3          m        m/s        m/s      kg/m3      uW/m3
    -2.00    -5.00     902.00    1492.00    2767.00    2161.00       1.00   29010.00    3447.00    6202.00    2803.00       1.00   22395.92    3759.00    7138.00    3069.00       0.50
    -1.00    -5.00     521.00    2926.00    5070.00    2569.00       1.00   23833.00    3472.00    6020.00    2788.00       1.00   27438.27    3806.00    7186.00    3080.00       0.50
     0.00    -5.00    1385.00    3419.00    5668.00    2680.00       1.00   19194.00    3486.00    6085.00    2818.00       1.00   23400.37    3858.00    6967.00    3004.00       0.50
     1.00    -5.00    2061.00    1810.00    3895.00    2366.00       1.00   23538.00    3687.00    6137.00    2778.00       1.00   20651.57    3984.00    6748.00    2925.00       0.50
     2.00    -5.00    1689.00    1588.00    3245.00    2251.00       1.00   27902.00    3658.00    6295.00    2812.00       1.00   19405.45    4054.00    7307.00    3105.00       0.50
     3.00    -5.00    1689.00    2323.00    3987.00    2382.00       1.00   23233.00    3590.00    6244.00    2800.00       1.00   20751.44    3888.00    7325.00    3110.00       0.50
   -10.00    -4.00    1090.00    2662.00    4959.00    2549.00       1.00   14458.00    3534.00    5905.00    2802.00       1.00   23805.79    3709.00    6592.00    2902.00       0.50
    -9.00    -4.00     562.00    2801.00    4655.00    2496.00       1.00   14438.00    3547.00    5903.00    2771.00       1.00   23491.70    3752.00    6513.00    2883.00       0.50
    -8.00    -4.00     561.00    3239.00    5758.00    2698.00       1.00   13267.00    3350.00    5996.00    2758.00       1.00   27375.66    3654.00    6884.00    2976.00       0.50
    -7.00    -4.00    1689.00    3057.00    5243.00    2600.00       1.00   15937.00    3470.00    5766.00    2777.00       1.00   27762.66    3795.00    6567.00    2885.00       0.50
    -6.00    -4.00    1637.00    2899.00    5702.00    2687.00       1.00   16867.00    3553.00    5999.00    2793.00       1.00   30658.36    3843.00    6688.00    2913.00       0.50
    -5.00    -4.00    3343.00    2627.00    4538.00    2476.00       1.00   17773.00    3556.00    6034.00    2758.00       1.00   25448.31    3850.00    6883.00    2969.00       0.50
    -4.00    -4.00    4062.00    2255.00    3758.00    2340.00       1.00   27645.00    3762.00    6268.00    2815.00       1.00   13208.65    3797.00    7110.00    3048.00       0.50
    -3.00    -4.00    1522.00    2133.00    3775.00    2345.00       1.00   17361.00    3582.00    5972.00    2751.00       1.00   29054.44    3641.00    6857.00    2979.00       0.50
    -2.00    -4.00     463.00    2012.00    3533.00    2302.00       1.00   18087.00    3428.00    5703.00    2746.00       1.00   29186.42    3638.00    6809.00    2962.00       0.50
    -1.00    -4.00     348.00    2275.00    4777.00    2518.00       1.00   19991.00    3489.00    6150.00    2789.00       1.00   26418.98    3671.00    6842.00    2973.00       0.50
     0.00    -4.00     852.00    2190.00    4426.00    2456.00       1.00   18768.00    3514.00    5856.00    2792.00       1.00   30368.77    3860.00    6908.00    2976.00       0.50
     1.00    -4.00    2391.00    1674.00    3375.00    2275.00       1.00   25562.00    3724.00    6194.00    2788.00       1.00   22314.06    4082.00    7065.00    3016.00       0.50
     2.00    -4.00    2837.00    1925.00    3676.00    2328.00       1.00   25143.00    3715.00    6246.00    2799.00       1.00   22304.71    4139.00    6874.00    2955.00       0.50
     3.00    -4.00    3073.00    1987.00    4047.00    2389.00       1.00   16576.00    3628.00    6067.00    2761.00       1.00   24637.51    3846.00    7257.00    3083.00       0.50
   -10.00    -3.00     370.00    1533.00    2788.00    2164.00       1.00   13218.00    3534.00    5909.00    2790.00       1.00   20347.16    3556.00    6195.00    2804.00       0.50
    -9.00    -3.00     384.00    1449.00    2475.00    2100.00       1.00   23474.00    3552.00    5877.00    2797.00       1.00   12923.94    3529.00    6426.00    2862.00       0.50
    -8.00    -3.00    1004.00    2521.00    4661.00    2497.00       1.00   18798.00    3535.00    5918.00    2814.00       1.00   22283.66    3660.00    6909.00    2984.00       0.50
    -7.00    -3.00    1196.00    2664.00    5032.00    2562.00       1.00   16734.00    3498.00    5942.00    2815.00       1.00   21655.21    3748.00    6652.00    2913.00       0.50
    -6.00    -3.00    1286.00    2948.00    5715.00    2689.00       1.00   19400.00    3535.00    6096.00    2813.00       1.00   21467.89    3783.00    6870.00    2975.00       0.50
    -5.00    -3.00    1283.00    1657.00    3160.00    2236.00       1.00   22665.00    3565.00    6182.00    2794.00       1.00   16866.85    3859.00    6597.00    2903.00       0.50
    -4.00    -3.00    2446.00    1628.00    3030.00    2210.00       1.00   21015.00    3681.00    6150.00    2790.00       1.00   18499.47    3732.00    7020.00    3027.00       0.50
    -3.00    -3.00    1990.00    2738.00    5398.00    2630.00       1.00   14291.00    3246.00    5369.00    2630.00       1.00   26745.51    3644.00    6875.00    2980.00       0.50
    -2.00    -3.00    1156.00    1673.00    3120.00    2228.00       1.00   15914.00    3615.00    6093.00    2774.00       1.00   28173.63    3733.00    6867.00    2978.00       0.50
    -1.00    -3.00    1049.00    2942.00    5560.00    2659.00       1.00   18785.00    3544.00    5948.00    2770.00       1.00   24919.24    3759.00    7115.00    3051.00       0.50
     0.00    -3.00    1878.00    1700.00    3612.00    2317.00       1.00   19713.00    3665.00    6102.00    2772.00       1.00   28178.69    3881.00    7243.00    3085.00       0.50
     1.00    -3.00    2671.00    1990.00    4123.00    2405.00       1.00   21477.00    3633.00    6210.00    2792.00       1.00   27810.45    3942.00    7304.00    3101.00       0.50
     2.00    -3.00    2318.00    2031.00    4406.00    2454.00       1.00   18661.00    3628.00    6020.00    2751.00       1.00   27525.92    3868.00    7130.00    3039.00       0.50
     3.00    -3.00    2147.00    1403.00    2575.00    2122.00       1.00   19707.00    3635.00    6312.00    2816.00       1.00   26980.23    3828.00    7257.00    3086.00       0.50
   -10.00    -2.00     320.00    1798.00    3448.00    2287.00       1.00   10002.00    3375.00    5727.00    2730.00       1.00   19262.10    3624.00    6066.00    2775.00       0.50
    -9.00    -2.00     273.00    2960.00    5118.00    2578.00       1.00   16409.00    3450.00    6072.00    2782.00       1.00   15943.84    3552.00    5975.00    2757.00       0.50
    -8.00    -2.00     306.00    1835.00    3814.00    2351.00       1.00   19469.00    3533.00    5926.00    2769.00       1.00   14930.87    3569.00    6101.00    2785.00       0.50
    -7.00    -2.00     299.00    1849.00    3200.00    2242.00       1.00   17773.00    3508.00    5857.00    2761.00       1.00   22369.73    3720.00    6859.00    2970.00       0.50
    -6.00    -2.00     988.00    2537.00    4526.00    2474.00       1.00   15573.00    3514.00    5850.00    2802.00       1.00   25237.50    3766.00    6707.00    2928.00       0.50
    -5.00    -2.00    1470.00    2666.00    5499.00    2648.00       1.00   20649.00    3485.00    5806.00    2717.00       1.00   17645.75    3617.00    6845.00    2973.00       0.50
