Lon Lat Tbuf Tinterm Tbottom 0.92 Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 0.92 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
2.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.098 50.00 0.500 6.000 34.000 0.100 85.098
3.00 -4.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.312 50.00 0.500 6.000 34.000 0.100 86.312
-10.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.299 50.00 0.500 6.000 34.000 0.100 85.299
-9.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.046 50.00 0.500 6.000 34.000 0.100 85.046
-8.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.763 50.00 0.500 6.000 34.000 0.100 85.763
-7.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.529 50.00 0.500 6.000 34.000 0.100 86.529
-6.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.953 50.00 0.500 6.000 34.000 0.100 85.953
-5.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.615 50.00 0.500 6.000 34.000 0.100 86.615
-4.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.424 50.00 0.500 6.000 34.000 0.100 86.424
-3.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.072 50.00 0.500 6.000 34.000 0.100 86.072
-2.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.427 50.00 0.500 6.000 34.000 0.100 85.427
-1.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.598 50.00 0.500 6.000 34.000 0.100 86.598
0.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.633 50.00 0.500 6.000 34.000 0.100 86.633
1.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.835 50.00 0.500 6.000 34.000 0.100 85.835
2.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.473 50.00 0.500 6.000 34.000 0.100 85.473
3.00 -3.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 84.842 50.00 0.500 6.000 34.000 0.100 84.842
-10.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.587 50.00 0.500 6.000 34.000 0.100 85.587
-9.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.168 50.00 0.500 6.000 34.000 0.100 86.168
-8.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.528 50.00 0.500 6.000 34.000 0.100 85.528
-7.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.302 50.00 0.500 6.000 34.000 0.100 86.302
-6.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.912 50.00 0.500 6.000 34.000 0.100 85.912
-5.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.426 50.00 0.500 6.000 34.000 0.100 85.426
-4.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.877 50.00 0.500 6.000 34.000 0.100 85.877
-3.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.124 50.00 0.500 6.000 34.000 0.100 86.124
-2.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.661 50.00 0.500 6.000 34.000 0.100 86.661
-1.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.716 50.00 0.500 6.000 34.000 0.100 85.716
0.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.105 50.00 0.500 6.000 34.000 0.100 86.105
1.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.639 50.00 0.500 6.000 34.000 0.100 85.639
2.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.511 50.00 0.500 6.000 34.000 0.100 85.511
3.00 -2.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 84.777 50.00 0.500 6.000 34.000 0.100 84.777
-10.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 87.082 50.00 0.500 6.000 34.000 0.100 87.082
-9.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.648 50.00 0.500 6.000 34.000 0.100 86.648
-8.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.203 50.00 0.500 6.000 34.000 0.100 86.203
-7.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.031 50.00 0.500 6.000 34.000 0.100 86.031
-6.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.914 50.00 0.500 6.000 34.000 0.100 85.914
-5.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.907 50.00 0.500 6.000 34.000 0.100 85.907
-4.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.804 50.00 0.500 6.000 34.000 0.100 85.804
-3.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.868 50.00 0.500 6.000 34.000 0.100 85.868
-2.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.570 50.00 0.500 6.000 34.000 0.100 86.570
-1.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.921 50.00 0.500 6.000 34.000 0.100 85.921
0.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.942 50.00 0.500 6.000 34.000 0.100 85.942
1.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.095 50.00 0.500 6.000 34.000 0.100 86.095
2.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.343 50.00 0.500 6.000 34.000 0.100 85.343
3.00 -1.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.101 50.00 0.500 6.000 34.000 0.100 86.101
