      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      MLD  Al_1  Fe_1  Mg_1  Ca_1      LAB  Al_2  Fe_2  Mg_2  Ca_2
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
-97 70	20.00	1411.26	1373.95	1420.53	0.9926	1.34	7.34	44.19	1.2	102.44	2.16	8.15	42.52	1.45	201.89	4.18	8.21	38.25	4.01
-96 70	20.00	1302.74	1444.86	1495.18	0.9775	1.35	7.26	44.92	1.07	100.71	1.88	7.43	43.46	1.82	202.98	4.32	8.34	38.49	3.9
-95 70	20.00	1318.05	1436.2	1463.34	0.9765	0.93	6.36	46.11	0.61	100.61	2.25	7.97	41.77	1.82	186.9	4.16	8.21	38.92	3.27
-94 70	20.00	1345.32	1378.93	1512.41	0.977	2.5	7.17	41.26	1.73	104.92	2.07	7.24	42.56	1.77	206.64	4.27	8.39	38.94	3.53
-93 70	20.00	1310.58	1368.41	1463.57	0.9838	1.05	7.53	45.04	0.78	95.88	2.31	7.18	41.68	1.83	211.27	4.04	8.52	37.85	3.78
-92 70	20.00	1378.4	1338.79	1406.77	0.9804	0.74	7.74	45.68	0.78	97.52	2.05	7.29	42.03	1.45	216.1	4.33	8.44	38.24	3.48
-91 70	20.00	1317.87	1372.13	1457.23	0.9852	2.29	7.31	41.85	1.5	97.59	2.49	7.3	41.21	1.81	225.6	4.29	7.8	38.54	3.41
-90 70	20.00	1337.4	1346.64	1446.44	0.985	1.91	7.16	43.9	1.58	102.38	2.47	8.63	41.55	1.61	230.12	3.86	8.13	38.15	3.63
-89 70	20.00	1378.61	1331.34	1450.14	0.9738	2.3	8.09	41.89	1.74	110.94	2.46	7.34	41	2.3	235.77	4.04	7.47	37.97	3.72
-88 70	20.00	1430.76	1417.94	1457.6	0.972	1.21	7.52	45	0.87	110.81	2.35	8.57	41.64	2.35	265.6	3.62	7.53	38.9	2.97
-87 70	20.00	1430.53	1447.16	1621.95	0.9696	0.74	7.13	45.76	0.34	123.51	2.33	8.36	40.77	1.87	292.33	3.71	7.79	38.4	3.59
-86 70	20.00	1470.49	1394.66	1473.94	0.9807	1.76	7.79	43.76	1.5	115.92	2.37	8.08	41.27	2.14	246.39	4.05	7.63	37.7	3.05
-85 70	20.00	1346.79	1327.91	1532.87	0.9665	1.79	7.4	43.56	1.47	107.19	2.54	7.48	40.93	2.18	213.55	4.2	8.22	38.21	3.64
-84 70	20.00	1316.07	1285.5	1490.69	0.9779	2.17	7.07	43.67	1.45	107.51	2.62	8.06	41.15	2.47	216.86	4.27	8.03	37.77	3.2
-83 70	20.00	1342.57	1381.88	1515.83	0.9891	2.37	7.1	42.46	1.87	107.22	2.18	8.19	41.95	1.97	217.11	4.39	8.5	38.8	3.57
-82 70	20.00	1304.22	1355.11	1440.57	0.9668	2.6	7.24	40.42	2.29	113.81	2.69	8.31	41.23	2.08	217.29	4.16	8.35	38.08	3.42
-81 70	20.00	1298.43	1429.24	1458.78	0.9818	1.87	7.4	43.17	1.18	105.81	2.86	7.93	41.18	2.57	213.9	4.34	8.25	37.48	3.75
-80 70	20.00	1318.45	1370.95	1492.5	0.9776	1.3	7.3	44.39	0.99	108	2.54	8.11	40.88	1.76	213.95	4.16	8.59	37.96	3.52
-79 70	20.00	1426.36	1374.5	1540.85	0.9687	1.13	7.81	44.57	1.08	104.96	2.42	8.61	42.09	1.94	218.19	3.88	8.26	39.37	3.93
-78 70	20.00	1330.89	1327.05	1409.2	0.9705	3.08	7.52	40.5	2.44	106.05	2.21	7.75	42.53	1.6	213.99	3.91	8.68	37.58	3.29
-77 70	20.00	1350.03	1362.03	1484.3	0.9895	1.79	6.98	42.9	1.43	111.24	2.4	8.37	41.72	1.72	216.89	4.16	8.22	37.88	3.45
-76 70	20.00	1340.62	1350.07	1461.2	0.9731	1.49	6.86	44.37	1.21	108.57	2.8	8.27	40.52	2.16	225.07	4.2	8.05	37.72	3.22
-75 70	20.00	1407.5	1318.35	1550.43	0.9892	2.22	7.77	43.02	1.91	114.22	3.11	7.45	40.97	2.93	234.63	4.2	7.55	37.52	3.62
-74 70	20.00	1392.9	1311.97	1440.83	0.9926	2.3	6.87	41.82	1.52	108.71	2.51	7.25	41.82	1.71	223.8	4.16	8.25	37.89	3.5
-73 70	20.00	1258.51	1366.24	1449.58	0.9816	0.94	7.31	46.03	0.69	108.89	2.07	8.53	42.73	1.6	225.62	4.44	7.5	37.99	3.79
-72 70	20.00	1259.79	1338.97	1425.59	0.9697	0.85	8.07	46.2	0.66	107.08	2.25	7.92	42.56	2	220.61	4.16	7.74	37.22	3.44
-71 70	20.00	1262.57	1319.16	1405.63	0.9763	0.78	7.63	46.02	0.65	113.55	1.67	7.01	43.57	1.44	213.08	4.48	8.18	36.88	4.2
-70 70	20.00	1290.88	1348.59	1513.29	0.9822	0.92	7.51	45.9	0.59	107.03	2.32	7.17	41.65	2.05	217.58	4.13	8.53	37.8	2.99
-69 70	20.00	1406.9	1326.93	1485.71	0.9718	1.81	7.61	42.99	1.32	108.18	2.3	7.36	41.66	1.72	213.9	4.14	8.16	38.35	3.98
-68 70	20.00	1317.81	1296.36	1421.42	0.9643	1.59	7.24	44.79	1.13	115.39	2.19	8.09	42.3	1.62	210.21	3.99	8.77	37.41	3.09
-67 70	20.00	1322.56	1295.98	1514.31	0.9692	2.33	7.4	43.06	1.74	110.09	2.37	8.35	41.65	1.66	217.41	3.79	8.31	37.97	3.52
-66 70	20.00	1302.07	1296.58	1423.69	0.9758	3	7.49	41.54	2.55	107.19	2.31	8.54	41.14	1.75	214.07	4.24	7.39	38.6	3.91
-65 70	20.00	1332.35	1260.11	1332.34	0.9882	3.04	8.62	40.66	2.74	113.38	2.29	8.29	42.17	1.84	204.34	3.63	7.5	38.94	2.92
