      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      LAB  Al_1  Fe_1  Mg_1  Ca_1
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
138.5 -16	0.20	1299.59	1423.81	1476.65	0.9706	2.7	8.59	42.04	2.35	171.37	4.09	8.18	37.5	3.34
139 -16	0.20	1298.86	1423.45	1477.15	0.971	2.68	8.58	41.96	2.35	172.48	4.1	8.15	37.51	3.33
139.5 -16	0.20	1298.26	1422.4	1476.63	0.9769	2.65	8.57	41.93	2.34	172.45	4.08	8.15	37.53	3.31
140 -16	0.20	1298.39	1422.24	1477.04	0.9701	2.66	8.58	41.92	2.33	171.58	4.12	8.19	37.58	3.3
140.5 -16	0.20	1298.12	1421.03	1476.15	0.9856	2.69	8.57	41.89	2.32	169.65	4.11	8.24	37.6	3.31
141 -16	0.20	1298.17	1420.13	1476.11	0.9746	2.68	8.58	41.9	2.32	166.69	4.11	8.28	37.62	3.3
141.5 -16	0.20	1299.16	1420.24	1475.57	0.9828	2.69	8.58	41.92	2.33	162.75	4.09	8.27	37.68	3.31
142 -16	0.20	1299.07	1420.11	1474.68	0.9859	2.69	8.57	41.97	2.34	158.15	4.06	8.27	37.68	3.3
142.5 -16	0.20	1299.39	1420.16	1475.36	0.9829	2.69	8.57	41.95	2.32	153.37	4.07	8.28	37.7	3.33
143 -16	0.20	1299.01	1420.86	1476.12	0.9619	2.65	8.56	41.95	2.32	149.08	4.05	8.26	37.7	3.35
127.5 -16.5	0.20	1308	1434.44	1484.07	0.989	2.65	8.23	41.87	2.22	197.37	3.95	8.04	37.48	3.32
128 -16.5	0.20	1307.3	1434.79	1484.22	0.9807	2.68	8.27	41.87	2.23	197.12	3.99	8.14	37.47	3.34
128.5 -16.5	0.20	1306.66	1435.12	1484.58	0.9732	2.7	8.27	41.89	2.25	196.77	4.03	8.21	37.41	3.34
129 -16.5	0.20	1306.03	1434.59	1484.67	0.9736	2.73	8.31	41.88	2.28	195.95	4.11	8.34	37.36	3.36
129.5 -16.5	0.20	1305.54	1433.65	1484.39	0.9697	2.77	8.32	41.89	2.3	195.85	4.16	8.42	37.35	3.38
130 -16.5	0.20	1304.72	1433.81	1484.69	0.9838	2.7	8.26	41.92	2.28	195.82	4.07	8.37	37.34	3.38
130.5 -16.5	0.20	1303.61	1432.9	1483.32	0.9721	2.68	8.21	41.9	2.28	196.49	4.06	8.34	37.35	3.38
131 -16.5	0.20	1303.06	1431.87	1481.97	0.9586	2.7	8.24	41.89	2.29	197.56	4.08	8.34	37.34	3.35
131.5 -16.5	0.20	1301.67	1431.06	1480.96	0.9583	2.72	8.26	41.96	2.31	198.83	4.11	8.35	37.34	3.34
132 -16.5	0.20	1301.43	1430.3	1479.56	0.9665	2.7	8.26	41.96	2.3	199.75	4.09	8.34	37.36	3.35
132.5 -16.5	0.20	1299.1	1430.04	1478.34	0.9679	2.69	8.28	41.96	2.3	200.99	4.07	8.31	37.34	3.3
133 -16.5	0.20	1298.9	1428.12	1477	0.9561	2.72	8.36	41.93	2.33	201.79	4.07	8.34	37.37	3.33
133.5 -16.5	0.20	1298.83	1428.69	1476.06	0.9712	2.77	8.45	41.99	2.39	201.89	4.1	8.34	37.27	3.34
134 -16.5	0.20	1298.54	1429.6	1475.96	0.9671	2.79	8.55	42.08	2.4	202.3	4.15	8.39	37.27	3.35
134.5 -16.5	0.20	1300.31	1430.02	1477.18	0.971	2.82	8.63	42.06	2.45	202.57	4.16	8.35	37.27	3.29
135 -16.5	0.20	1301.15	1430.52	1478.03	0.9833	2.87	8.72	42.09	2.51	201.9	4.17	8.3	37.26	3.34
135.5 -16.5	0.20	1300.73	1427.53	1478.16	0.9716	2.81	8.69	42.1	2.47	199.47	4.13	8.17	37.25	3.38
136 -16.5	0.20	1301.87	1427.42	1477.72	0.9594	2.75	8.61	42.06	2.43	196.16	4.09	8.11	37.3	3.35
136.5 -16.5	0.20	1300.66	1425.19	1478.8	0.9794	2.75	8.61	42.07	2.36	192.33	4.14	8.14	37.35	3.36
137 -16.5	0.20	1299.06	1423.21	1477.78	0.9558	2.73	8.57	42.05	2.36	187.97	4.15	8.19	37.33	3.38
137.5 -16.5	0.20	1299.6	1423.65	1477.9	0.9655	2.73	8.55	42.02	2.41	182.97	4.15	8.19	37.36	3.36
138 -16.5	0.20	1299.98	1422.96	1476.92	0.9672	2.75	8.61	42.04	2.41	179.56	4.16	8.21	37.45	3.36
138.5 -16.5	0.20	1299.17	1423.98	1475.57	0.9678	2.69	8.6	42.05	2.38	177.04	4.08	8.14	37.54	3.31
139 -16.5	0.20	1298.49	1422.96	1475.77	0.9741	2.66	8.58	42.02	2.37	175.92	4.07	8.11	37.56	3.29
139.5 -16.5	0.20	1297.45	1422.87	1476.09	0.9747	2.68	8.58	41.99	2.42	174.92	4.09	8.1	37.55	3.33
140 -16.5	0.20	1297.55	1421.78	1476.13	0.9847	2.68	8.61	41.98	2.38	173.3	4.07	8.18	37.62	3.32
140.5 -16.5	0.20	1298.2	1421.83	1475.96	0.9836	2.7	8.6	41.96	2.35	170.69	4.11	8.26	37.65	3.31
141 -16.5	0.20	1299.4	1420.5	1476.55	0.9816	2.68	8.63	41.91	2.34	167.98	4.1	8.27	37.69	3.3
141.5 -16.5	0.20	1298.79	1420.59	1474.74	0.9738	2.7	8.58	41.94	2.36	163.8	4.07	8.26	37.68	3.33
142 -16.5	0.20	1299.54	1420.67	1474.26	0.9726	2.7	8.59	41.97	2.35	159.05	4.09	8.28	37.69	3.32
142.5 -16.5	0.20	1298.81	1419.73	1475.25	0.9776	2.68	8.57	41.99	2.33	153.45	4.04	8.24	37.71	3.32
143 -16.5	0.20	1299.25	1420.25	1476.28	0.9809	2.67	8.56	41.95	2.33	148.97	4.08	8.27	37.69	3.35
127.5 -17	0.20	1307.14	1435.5	1484.61	0.9728	2.68	8.25	41.87	2.22	198.94	3.97	8.11	37.49	3.34
128 -17	0.20	1305.96	1434.22	1485.17	0.9669	2.72	8.26	41.89	2.24	198.73	4.01	8.16	37.46	3.35
128.5 -17	0.20	1305.1	1435.16	1484.85	0.9763	2.73	8.28	41.86	2.25	198.37	4.05	8.25	37.42	3.36
129 -17	0.20	1304.79	1434.94	1483.98	0.9826	2.72	8.28	41.88	2.25	197.82	4.09	8.31	37.4	3.36
129.5 -17	0.20	1304.83	1433.35	1483.64	0.9791	2.72	8.24	41.87	2.26	197.3	4.09	8.34	37.35	3.38
130 -17	0.20	1304.04	1433.72	1483.5	0.9647	2.7	8.2	41.89	2.28	197.03	4.06	8.34	37.35	3.37
130.5 -17	0.20	1303.65	1433.45	1483.51	0.9776	2.69	8.17	41.94	2.28	197.48	4.07	8.34	37.36	3.35
131 -17	0.20	1302.62	1433.54	1482.56	0.9674	2.71	8.17	41.97	2.27	198.28	4.11	8.36	37.35	3.35
131.5 -17	0.20	1302.12	1432.19	1480.76	0.966	2.7	8.17	41.94	2.28	199.23	4.09	8.34	37.31	3.35
132 -17	0.20	1300.73	1431.38	1480.29	0.9743	2.7	8.17	41.98	2.29	200.32	4.09	8.31	37.33	3.34
132.5 -17	0.20	1299.17	1430.08	1479.03	0.9598	2.7	8.18	41.95	2.31	201.57	4.06	8.29	37.37	3.31
133 -17	0.20	1298.88	1429	1476.86	0.9706	2.77	8.28	41.99	2.34	202.49	4.12	8.36	37.31	3.32
